,Features
0,KCTD20
1,OR1I1
2,DPEP2
3,AC079341.1
4,NUMB
5,FADS2
6,ZNF737
7,CAMK2N1
8,EFCAB12
9,STX2
10,RHOU
11,SARS2
12,CSTA
13,PARP2
14,TRIM52
15,NOXO1
16,CNRIP1
17,DDX31
18,UBE3C
19,WRB
20,NTF4
21,CTD-2583A14.9
22,OR11A1
23,RP11-145E5.5
24,TCFL5
25,GLB1L
26,CHCHD7
27,SPINK7
28,PROK1
29,FLJ00325
30,EPB41L1
31,CIRH1A
32,HKR1
33,PARD6A
34,C15orf53
35,CDH11
36,EME1
37,GRPEL1
38,DHRS7
39,DYNAP
40,CTCFL
41,RP11-286N22.8
42,ELOVL4
43,BAZ2A
44,C12orf65
45,A1BG
46,MCFD2
47,HIST1H2BE
48,FAM25E
49,IFNL3
50,LSM6
51,NSG1
52,ZBTB22
53,ARMCX2
54,CCDC42B
55,GNGT2
56,RP11-794P6.2
57,HPS1
58,MPV17
59,MTCH1
60,IQCG
61,AL513478.1
62,CDA
63,KEL
64,FAM208A
65,RNASE3
66,AP5S1
67,PRPSAP2
68,TAPBP
69,FABP3
70,MCIDAS
71,AXDND1
72,C1D
73,C4orf3
74,KRTAP19-5
75,DCTD
76,PNISR
77,NAT8
78,AP000769.1
79,ZNF577
80,AL133318.1
81,ZDHHC14
82,PEX11A
83,LPL
84,FAM163A
85,CD200R1
86,DHCR24
87,NOVA1
88,BCL2A1
89,DGCR6L
90,MT4
91,HIST1H2AE
92,C15orf57
93,AC009060.1
94,EIF3D
95,DUOX1
96,ZNF124
97,C3AR1
98,CD53
99,MYH7
100,C2orf16
101,AC137056.1
102,SCML4
103,UPK3A
104,SIPA1L2
105,MRI1
106,CCL3L3
107,ZNF611
108,SH2D7
109,PRAMEF1
110,IL1RN
111,HMBS
112,CTC-454I21.3
113,HTT
114,M6PR
115,GGCT
116,FCN2
117,SLC9A4
118,FMR1NB
119,DRC1
120,XYLT2
121,AAGAB
122,CDH5
123,GAGE10
124,LCN9
125,RPL36A-HNRNPH2
126,CD5
127,SMC3
128,ZNF701
129,CNBD1
130,FAM229B
131,AC092675.3
132,COG1
133,SLCO1B3
134,KLC4
135,CD2BP2
136,TCF20
137,ZFAT
138,OR5P3
139,OR4C15
140,STX1B
141,LRRIQ1
142,C1orf109
143,PEG10
144,UBE2T
145,OR4D10
146,ARL14EP
147,NCCRP1
148,SGK3
149,PHKG1
150,ZNF282
151,ERVMER34-1
152,ZNF626
153,P4HA1
154,MYLIP
155,NGDN
156,NDUFC2-KCTD14
157,SCN4B
158,PROKR2
159,MUC16
160,PHF13
161,THADA
162,TMEM63B
163,RACGAP1
164,G0S2
165,LRRC3C
166,FAM227A
167,STAC2
168,SYNDIG1
169,TULP3
170,FBN2
171,RBP7
172,TSTD2
173,APLP1
174,FLVCR1
175,PNN
176,RP11-178C3.1
177,ZNF831
178,RPUSD2
179,SLC25A23
180,SERPING1
181,B3GNT4
182,09-Mar
183,COL11A2
184,TSRM
185,PCMTD1
186,FFAR2
187,SCN1B
188,SLC22A8
189,SIRT4
190,HSPA13
191,OR14A2
192,CILP
193,OR7E24
194,SYTL2
195,CEBPD
196,NFATC2
197,CDC123
198,RASAL1
199,FBLL1
